"ENSEMBL ID","Biotype","Gene symbol","Description","Expression Low","Expression Disease","Log2 FC","Adjusted P","Counts difference"
"ENSG00000125820","protein_coding","NKX2-2","NKX2-2",5.71129592067993,5.59035582631891,-17.1033813696773,1.23358134786511e-11,-0.120940094361019
"ENSG00000198075","protein_coding","SULT1C4","SULT1C4",8.07941752404392,9.4378003590121,3.68039578194731,7.86994283888036e-08,1.35838283496818
"ENSG00000139364","protein_coding","TMEM132B","TMEM132B",6.59198855500348,7.44621715581922,3.23122494464625,6.43120273764561e-07,0.854228600815746
"ENSG00000156671","protein_coding","SAMD8","SAMD8",11.1939969034954,12.9107252604109,2.36293691857818,6.43120273764561e-07,1.71672835691555
"ENSG00000187715","protein_coding","KBTBD12","KBTBD12",5.86424334215801,6.48690025115426,4.72354620368161,5.62821953052106e-06,0.62265690899625
"ENSG00000205693","protein_coding","MANSC4","MANSC4",6.00863495134263,6.67657335739859,3.91805095906816,5.62821953052106e-06,0.667938406055953
"ENSG00000177885","protein_coding","GRB2","GRB2",13.9352945792205,14.8142282249557,1.70880577812605,7.95741318657676e-06,0.878933645735172
"ENSG00000132825","protein_coding","PPP1R3D","PPP1R3D",10.3558791368317,11.1702085431439,2.02444814571584,8.76332263919785e-05,0.814329406312151
"ENSG00000148842","protein_coding","CNNM2","CNNM2",9.6704716828533,10.4744857454677,1.74692906772848,0.00065587301705914,0.804014062614451
"ENSG00000120211","protein_coding","INSL4","INSL4",5.67431740250072,6.32150048616917,5.27068797717386,0.00216391904997748,0.647183083668446
"ENSG00000095539","protein_coding","SEMA4G","SEMA4G",8.38050818919908,9.56168155947493,1.91829791830686,0.00393212805968077,1.18117337027585
"ENSG00000180336","protein_coding","MEIOC","MEIOC",6.64257913704484,7.56334736747136,1.97011057717134,0.01656350103568,0.920768230426528
"ENSG00000166343","protein_coding","MSS51","MSS51",7.31800399642739,8.04799414897025,1.33505438173219,0.018842806206334,0.729990152542862
"ENSG00000077935","protein_coding","SMC1B","SMC1B",6.46229393538335,7.40869608291846,2.88951505815604,0.020138759370332,0.946402147535108
"ENSG00000079393","protein_coding","DUSP13","DUSP13",6.51808979452023,8.60123734722815,3.30310305778366,0.020138759370332,2.08314755270792
"ENSG00000133937","protein_coding","GSC","GSC",7.67001192914304,6.61074208823742,-2.49978169174025,0.020138759370332,-1.05926984090562
"ENSG00000184956","protein_coding","MUC6","MUC6",8.03710121033355,6.29413885395074,-3.90419032310639,0.020138759370332,-1.74296235638281
"ENSG00000105642","protein_coding","KCNN1","KCNN1",6.44419085939052,7.13629414769545,1.73142205141968,0.0352150999226886,0.692103288304929
"ENSG00000139200","protein_coding","PIANP","PIANP",6.92210049573174,7.80452916803361,2.12029052661997,0.0352150999226886,0.882428672301875
"ENSG00000109084","protein_coding","TMEM97","TMEM97",10.8527932506412,11.7529086620186,1.30763328752821,0.0368603239520499,0.900115411377415
"ENSG00000249158","protein_coding","PCDHA11","PCDHA11",7.41553482131294,6.21881432465437,-2.71014627479143,0.0368603239520499,-1.19672049665857
"ENSG00000112852","protein_coding","PCDHB2","PCDHB2",7.96362938153587,6.67546959577204,-2.00929695138064,0.0426619344742815,-1.28815978576383
"ENSG00000162892","protein_coding","IL24","IL24",6.9391065852202,8.09364531843367,2.1060775231861,0.0426619344742815,1.15453873321348
