"ENSEMBL ID","Biotype","Gene symbol","Description","Expression Low","Expression Disease","Log2 FC","Adjusted P","Counts difference"
"ENSG00000198075","protein_coding","SULT1C4","SULT1C4",7.98162512405646,8.41614547554669,4.0499185164912,1.52981341961456e-05,0.434520351490227
"ENSG00000156671","protein_coding","SAMD8","SAMD8",11.2356037312894,11.8147210187887,2.4380249357454,0.000268746553683424,0.579117287499329
"ENSG00000205693","protein_coding","MANSC4","MANSC4",6.04122390452581,6.22810391208027,4.54269991529269,0.000268746553683424,0.186880007554454
"ENSG00000177885","protein_coding","GRB2","GRB2",13.7315066474987,14.0424604955315,1.83011458519909,0.000420392319396527,0.310953848032808
"ENSG00000139292","protein_coding","LGR5","LGR5",6.74840448150819,7.13266666302492,-4.67924079941941,0.00483355756723066,0.384262181516738
"ENSG00000139364","protein_coding","TMEM132B","TMEM132B",6.57763252030669,6.98462647737265,2.92067414359463,0.00483355756723066,0.40699395706596
"ENSG00000196196","protein_coding","HRCT1","HRCT1",6.93963986644549,7.03308286438238,-4.42801393828119,0.00483355756723066,0.0934429979368918
"ENSG00000115665","protein_coding","SLC5A7","SLC5A7",6.10575154095555,6.38066182053891,9.3608090045145,0.00794532079878464,0.274910279583354
"ENSG00000187715","protein_coding","KBTBD12","KBTBD12",5.98826881090131,6.17269188928756,5.23915746721766,0.00794532079878464,0.184423078386255
"ENSG00000079393","protein_coding","DUSP13","DUSP13",6.59810691772278,7.04359472736785,5.74161597751192,0.00887995682533088,0.44548780964507
