"ENSEMBL ID","Biotype","Gene symbol","Description","Expression Low","Expression Disease","Log2 FC","Adjusted P","Counts difference"
"ENSG00000198075","protein_coding","SULT1C4","SULT1C4",7.98162512405646,8.41614547554669,4.0499185164912,1.52981341961456e-05,0.434520351490227
"ENSG00000156671","protein_coding","SAMD8","SAMD8",11.2356037312894,11.8147210187887,2.4380249357454,0.000268746553683424,0.579117287499329
"ENSG00000205693","protein_coding","MANSC4","MANSC4",6.04122390452581,6.22810391208027,4.54269991529269,0.000268746553683424,0.186880007554454
"ENSG00000177885","protein_coding","GRB2","GRB2",13.7315066474987,14.0424604955315,1.83011458519909,0.000420392319396527,0.310953848032808
"ENSG00000139292","protein_coding","LGR5","LGR5",6.74840448150819,7.13266666302492,-4.67924079941941,0.00483355756723066,0.384262181516738
"ENSG00000139364","protein_coding","TMEM132B","TMEM132B",6.57763252030669,6.98462647737265,2.92067414359463,0.00483355756723066,0.40699395706596
"ENSG00000196196","protein_coding","HRCT1","HRCT1",6.93963986644549,7.03308286438238,-4.42801393828119,0.00483355756723066,0.0934429979368918
"ENSG00000115665","protein_coding","SLC5A7","SLC5A7",6.10575154095555,6.38066182053891,9.3608090045145,0.00794532079878464,0.274910279583354
"ENSG00000187715","protein_coding","KBTBD12","KBTBD12",5.98826881090131,6.17269188928756,5.23915746721766,0.00794532079878464,0.184423078386255
"ENSG00000079393","protein_coding","DUSP13","DUSP13",6.59810691772278,7.04359472736785,5.74161597751192,0.00887995682533088,0.44548780964507
"ENSG00000132825","protein_coding","PPP1R3D","PPP1R3D",10.2942071887504,10.6800489950442,2.00050532734953,0.00923289723833766,0.385841806293811
"ENSG00000161031","protein_coding","PGLYRP2","PGLYRP2",8.41656031472654,8.45191319832885,5.34655398488639,0.00923289723833766,0.0353528836023109
"ENSG00000130449","protein_coding","ZSWIM6","ZSWIM6",10.3494599709783,10.4560638997429,1.88558991387416,0.01058724589327,0.106603928764621
"ENSG00000143546","protein_coding","S100A8","S100A8",8.03907554219614,7.90636812291709,5.83559051724119,0.0109214710978382,-0.132707419279052
"ENSG00000156504","protein_coding","FAM122B","FAM122B",11.3170583084784,11.3674665381655,1.43893655371616,0.0116858896992824,0.0504082296870916
"ENSG00000198028","protein_coding","ZNF560","ZNF560",5.78056256193662,5.94148109079627,-6.46372694924815,0.0116858896992824,0.160918528859652
"ENSG00000077935","protein_coding","SMC1B","SMC1B",6.80839795105274,6.92440322380278,4.46865203422037,0.0119646087244041,0.116005272750035
"ENSG00000173404","protein_coding","INSM1","INSM1",7.33540240898971,7.14561364714094,7.16512653183343,0.0187341282739238,-0.18978876184877
"ENSG00000163631","protein_coding","ALB","ALB",7.53370784564313,8.79584790080955,-6.4919757994374,0.0206541037999939,1.26214005516642
"ENSG00000095539","protein_coding","SEMA4G","SEMA4G",8.5788291441099,8.79024246170431,2.16550040900606,0.0207620836041616,0.211413317594412
"ENSG00000120211","protein_coding","INSL4","INSL4",5.67600819459841,5.85526061279013,7.05418131133945,0.020784491921329,0.17925241819172
"ENSG00000132932","protein_coding","ATP8A2","ATP8A2",8.24790835762919,8.36028526449062,4.70290802169496,0.0227071577579388,0.112376906861433
"ENSG00000140545","protein_coding","MFGE8","MFGE8",12.2672348063173,12.4939227887229,-1.98580092895952,0.0227071577579388,0.226687982405579
"ENSG00000163220","protein_coding","S100A9","S100A9",9.55422759321826,9.2598741669808,5.61557314621182,0.0276931383566231,-0.294353426237464
"ENSG00000011677","protein_coding","GABRA3","GABRA3",6.06133896086163,6.17710922543612,8.87738404998997,0.0316087713111491,0.115770264574482
"ENSG00000166509","protein_coding","CLEC3A","CLEC3A",9.27535705823027,8.21821538560255,9.22442847978731,0.0316087713111491,-1.05714167262772
"ENSG00000166343","protein_coding","MSS51","MSS51",7.44688679608173,7.58954431011603,1.86163430233863,0.03599620716675,0.142657514034304
"ENSG00000162892","protein_coding","IL24","IL24",6.72049221489012,7.09318713194401,3.75083769331456,0.0378537669704744,0.372694917053882
