"ENSEMBL","SYMBOL","baseMean","log2FC_raw","lfcSE","stat","pvalue","padj","log2FC_shrunk"
"ENSG00000127324","TSPAN8",285.507453635436,-5.22796604633858,0.831925586253999,-6.28417509056201,3.29599074154547e-10,2.8947038687623e-06,-4.507602513432
"ENSG00000184956","MUC6",2867.24644214627,-5.0729417793295,0.929276738097616,-5.45902159319586,4.78765537569404e-08,0.000165377906143184,-4.21757735506003
"ENSG00000134827","TCN1",1625.53797255475,-4.54897818670378,0.842093355869741,-5.40198798030587,6.59063673784396e-08,0.000165377906143184,-3.89746836958422
"ENSG00000174226","SNX31",10.2782625061768,3.4843672737829,0.540878739430488,6.44204887300935,1.1787130868736e-10,2.07040953709347e-06,3.26365085893676
"ENSG00000233041","PHGR1",194.260014426542,-3.78581739911873,0.785955780762859,-4.81683256460582,1.45854977869092e-06,0.00197072514328508,-3.20957700373621
"ENSG00000273706","LHX1",23.5991653350932,5.38799366704136,1.20307213518791,4.47852918328943,7.51590967176438e-06,0.00602636206958162,3.18073582323425
"ENSG00000186160","CYP4Z1",5942.73577380425,3.65743683235303,0.771992324572155,4.73765958020375,2.16200593089465e-06,0.00271254529829746,3.08068268500651
"ENSG00000206013","IFITM5",8.53344770375768,-4.41689967112269,1.01093410385379,-4.36912718077765,1.24744105949032e-05,0.00782546507498126,-2.84083989031722
"ENSG00000156096","UGT2B4",134.762677495846,-4.4000723550951,1.01320026819872,-4.3427469308882,1.40712189290569e-05,0.008522791740996,-2.77089834377069
"ENSG00000198797","BRINP2",643.611951749376,-3.48989038525587,0.782661428521482,-4.45900392951341,8.23414117107651e-06,0.00602636206958162,-2.70532437007882
"ENSG00000139610","CELA1",2.59083941614396,2.81385131259088,0.545803787010694,5.15542650959243,2.53054275222898e-07,0.000555612293036275,2.61110493155442
"ENSG00000196353","CPNE4",69.6072373646153,-3.51184119567265,0.800887481236091,-4.38493705789042,1.1601932016949e-05,0.00782546507498126,-2.60311903506549
"ENSG00000164850","GPER1",612.164391780233,-2.64002717039431,0.524387447280679,-5.03449726740166,4.7910451135851e-07,0.000701289228501019,-2.44778888233083
"ENSG00000141744","PNMT",228.624292096373,-3.09359670465973,0.698531983305793,-4.42871161033933,9.47976796331609e-06,0.00666048497102589,-2.44750088380658
"ENSG00000229453","SPINK8",160.632886919336,2.88421961205641,0.636619775467609,4.53052155022658,5.88382522976417e-06,0.00570314820633915,2.41850042254686
"ENSG00000179083","FAM133A",20.7181381237345,2.4806282380391,0.486502363553739,5.09890274719105,3.41628006528854e-07,0.000600069593467933,2.32234690182297
"ENSG00000162746","FCRLB",478.647446553181,-2.7929287141539,0.621885471829288,-4.49106602528992,7.08675763005824e-06,0.00602636206958162,-2.31925111366142
"ENSG00000142102","PGGHG",5603.17640070583,-2.4089580550508,0.469529648775157,-5.13057708141531,2.88855242753644e-07,0.000563749148774195,-2.26410319129197
"ENSG00000015592","STMN4",15.0421474441247,-2.85880668284966,0.653315401562881,-4.37584461656764,1.20963164191417e-05,0.00782546507498126,-2.23691690985453
