"ENSEMBL","SYMBOL","baseMean","log2FC_raw","lfcSE","stat","pvalue","padj","log2FC_shrunk"
"ENSG00000129437","KLK14",127.930431229051,-3.31473924776569,0.608519238462743,-5.44722177747324,5.1162654805133e-08,3.9846810240189e-05,-5.52398254873481
"ENSG00000170091","HMP19",147.572270698866,-2.87146657373038,0.665561567947374,-4.31435153713297,1.60072061753983e-05,0.0027050668322633,-4.41029453517176
"ENSG00000114200","BCHE",158.263854725407,-1.85440533385284,0.526952342828481,-3.51911393713347,0.000432990710876961,0.0201714502742995,-4.06994860734754
"ENSG00000102854","MSLN",68.567581694392,-1.93114224269572,0.483953987325373,-3.99034266329408,6.59779047880205e-05,0.00667718761846221,-3.77559644638579
"ENSG00000096006","CRISP3",782.855266241917,-2.45259725185558,0.700136069504901,-3.5030294233947,0.000459998647911716,0.020703406482519,-3.77408152007591
"ENSG00000197893","NRAP",11.7005261251861,-1.77326242798889,0.582333425338456,-3.04509813593176,0.00232604398239323,0.0483369209473434,-3.76402645466865
"ENSG00000177238","TRIM72",128.244917430619,-3.03640897542546,0.581556259092369,-5.22117839495763,1.7778816977347e-07,9.09919852900617e-05,-3.75270198163293
"ENSG00000150625","GPM6A",156.234823243273,-2.03321718992283,0.59943558069697,-3.39188605981444,0.000694132989615029,0.0253973510985952,-3.50674063484316
"ENSG00000134020","PEBP4",180.821543386703,-3.50111386277058,0.571249079661244,-6.12887440422097,8.85029534596133e-10,1.2195026194785e-06,-3.43342144087328
"ENSG00000181577","C6orf223",26.4758835732923,-1.61836660912241,0.508915682432097,-3.18002896155267,0.00147260333858486,0.0375765578405564,-3.22722314602105
"ENSG00000147485","PXDNL",422.579374572605,-2.56911616546,0.539937581109184,-4.75817252835469,1.95353497281677e-06,0.000486023221778706,-2.98565062515426
"ENSG00000161798","AQP5",185.999874126682,-2.49480114144412,0.607040448308141,-4.10977744299788,3.96040628354875e-05,0.00477466723040938,-2.76816297227272
"ENSG00000147573","TRIM55",17.9767421543693,-2.60812410217264,0.556993683731745,-4.68250211510253,2.83394262730741e-06,0.000650825824140483,-2.72892869303103
