"ENSEMBL","SYMBOL","baseMean","log2FC_raw","lfcSE","stat","pvalue","padj","log2FC_shrunk"
"ENSG00000089199","CHGB",2150.78510399931,-7.27409136112418,0.592377360246485,-12.2794891386421,1.16733028397698e-34,2.09103873768797e-30,-8.36795260519505
"ENSG00000092054","MYH7",7.94791184384714,-2.00671596668024,0.549057979695135,-3.65483435427799,0.000257348080498377,0.00463304137283159,-5.5581091715245
"ENSG00000163092","XIRP2",4.54208371261062,-2.3171365874925,0.651778010248656,-3.55510089487141,0.000377834072415298,0.00629009455313683,-5.45225980739298
"ENSG00000096006","CRISP3",782.855266241917,-3.78576026192175,0.439270837434159,-8.61828270693975,6.79657089305542e-18,1.52183718009127e-14,-5.11424162646963
"ENSG00000163631","ALB",640.980912435237,-2.4202770187857,0.417733538881619,-5.79382978265382,6.87991898134535e-09,1.28667149257961e-06,-4.75906044459389
"ENSG00000198077","CYP2A7",268.328515303344,-3.92618943065105,0.506124446170556,-7.75735979630588,8.67156583693104e-15,9.7083599273091e-12,-4.66140616518873
"ENSG00000146352","CLVS2",16.513315380611,-2.49804208514716,0.569810820828735,-4.3839849891127,1.16527806204489e-05,0.00048318578531042,-4.51246091064147
"ENSG00000154478","GPR26",249.102847405679,-4.01735801824702,0.521623636370347,-7.70164106481313,1.34329771316061e-14,1.41544070210859e-11,-4.49853778563965
"ENSG00000034971","MYOC",12.8054967247037,-1.39989280516493,0.436808402042776,-3.20482114954336,0.00135146429041096,0.0154097898371302,-4.43048072972907
"ENSG00000176988","FMR1NB",2.79726810640308,-1.70447832949595,0.529872216845291,-3.2167724128733,0.00129641393421857,0.0150114174554992,-4.3900382864523
"ENSG00000124490","CRISP2",8.27114124287401,-3.44541911683098,0.587397196773451,-5.86556955967193,4.47593570720046e-09,9.00870071045864e-07,-4.37032501568455
"ENSG00000077080","ACTL6B",10.7590658834733,-2.53202654145884,0.569899724461206,-4.44293343684745,8.87406256436126e-06,0.000400405749912855,-4.26774268264534
"ENSG00000129437","KLK14",127.930431229051,-2.59807053165318,0.379545486155099,-6.84521520193101,7.63609914750503e-12,4.55951480097525e-09,-4.26005693859459
"ENSG00000255974","CYP2A6",1685.0860182094,-4.21486335992995,0.501081393706874,-8.41153435921747,4.04681594651241e-17,6.59005582271607e-14,-4.23774404546234
"ENSG00000175426","PCSK1",937.089215340739,-3.87042861639168,0.456116018580506,-8.48562308431299,2.14565876336499e-17,3.84351854281572e-14,-4.14753312228706
"ENSG00000122859","NEUROG3",7.22731396574008,-3.09683130067446,0.514510868907757,-6.01898130402697,1.75518138571403e-09,4.30692659757472e-07,-4.14712776275569
"ENSG00000063015","SEZ6",89.4603284146896,-4.37783728912205,0.456039910711389,-9.5996801733711,8.01928700143966e-22,4.78831626855962e-18,-4.0868343718512
"ENSG00000156687","UNC5D",3.18476710553086,1.23004149050687,0.376186173199866,3.26976794506841,0.00107635743957479,0.0130983633254777,3.98911310378034
"ENSG00000109424","UCP1",54.7892975312027,-4.27768805861357,0.48382143446862,-8.84146041051643,9.44754826968428e-19,2.82056553591424e-15,-3.90318288829187
"ENSG00000167759","KLK13",83.8689131015318,-2.86026821283674,0.438896088049739,-6.51695991537887,7.17465884993883e-11,2.85599253286565e-08,-3.74422718870021
"ENSG00000186160","CYP4Z1",5942.73577380425,-4.58343930679447,0.417349411998218,-10.9822589298725,4.65144784398027e-28,4.16606926146093e-24,-3.70675868145302
"ENSG00000197893","NRAP",11.7005261251861,-1.54943923559125,0.362184102089058,-4.2780432013834,1.88543434423517e-05,0.000685066641141676,-3.6578412416404
"ENSG00000186191","BPIFB4",2.93697679430176,-2.00157951122046,0.576412501130446,-3.47247762200683,0.000515678001578017,0.00782825427310764,-3.59166769017998
"ENSG00000165566","AMER2",21.8642071536637,3.73594406911414,0.629730225250728,5.93261037712881,2.98155814859321e-09,6.5132501360671e-07,3.5253855078811
"ENSG00000101204","CHRNA4",10.0047538773642,2.33947206030291,0.553703007125241,4.22513880220584,2.38793548424873e-05,0.000819446136577537,3.51503153242961
"ENSG00000155511","GRIA1",163.15552687625,-3.02128006465341,0.456132038102242,-6.6236962376587,3.50326310727168e-11,1.65141979054099e-08,-3.49816344217958
